  
       XFOIL         Version 6.99
  
 Calculated polar for: PLOP                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    12.814 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   1.000   0.0206   0.00773  -0.00650   0.0181   0.3048   0.3331 105.2760 200.9670
   2.000   0.0582   0.00786  -0.00680   0.0326   0.2906   0.3497 107.4054 203.4524
   3.000   0.0995   0.00808  -0.00727   0.0461   0.2769   0.3665 109.4708 205.9813
   4.000   0.1357   0.00839  -0.00798   0.0605   0.2640   0.3849 111.4074 208.7287
   5.000   0.1955   0.00876  -0.00871   0.0698   0.2507   0.4050 113.4022 211.7551
   6.000   0.2727   0.00923  -0.00937   0.0751   0.2372   0.4271 115.4172 215.0644
   7.000   0.3679   0.00980  -0.00986   0.0764   0.2237   0.4522 117.4434 218.8270
   8.000   0.4582   0.01053  -0.01041   0.0783   0.2111   0.4785 119.3404 222.7725
   9.000   0.5439   0.01145  -0.01098   0.0806   0.1990   0.5063 121.1531 226.9521
  10.000   0.6255   0.01261  -0.01155   0.0830   0.1872   0.5366 122.9259 231.4912
