  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     7.810 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000   0.1166   0.00708  -0.00535  -0.0487   0.0183   0.0208 100.0088 103.9501
   0.000   0.2241   0.00710  -0.00471  -0.0490   0.0181   0.0208 100.0255 103.9510
   1.000   0.3313   0.00719  -0.00439  -0.0493   0.0180   0.0208 100.0331 103.9542
   2.000   0.4382   0.00733  -0.00442  -0.0496   0.0180   0.0210 100.0352 103.9668
   3.000   0.5445   0.00753  -0.00478  -0.0498   0.0179   0.0212 100.0414 103.9862
   4.000   0.6496   0.00788  -0.00539  -0.0497   0.0179   0.0229 100.0413 104.1549
   5.000   0.7377   0.01029  -0.00502  -0.0458   0.0183   0.0269 100.0024 104.5501
   6.000   0.8538   0.00767  -0.00768  -0.0493   0.0146   0.6204 100.3952 164.7338
   7.000   0.9790   0.00762  -0.00928  -0.0547   0.0083   1.0000 101.0358 203.0000
   8.000   1.0751   0.00837  -0.01110  -0.0530   0.0078   1.0000 101.0771 203.0000
