  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     2.274 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -2.000   0.0183   0.00761  -0.00608  -0.0501   0.4382   0.0248  57.7517 104.3479
  -1.000   0.1126   0.00882  -0.00515  -0.0481   0.0277   0.0235  99.0253 104.2189
   1.000   0.3246   0.00888  -0.00435  -0.0479   0.0184   0.0218  99.9891 104.0471
   2.000   0.4299   0.00910  -0.00432  -0.0478   0.0190   0.0217  99.9253 104.0357
   3.000   0.5341   0.00945  -0.00453  -0.0475   0.0198   0.0303  99.8423 104.8864
   4.000   0.6277   0.00852  -0.00485  -0.0456   0.0208   0.7303  99.7436 175.8378
   5.000   0.7581   0.00910  -0.00528  -0.0517   0.0194   1.0000  99.8858 203.0000
   6.000   0.8568   0.00938  -0.00668  -0.0507   0.0178   1.0000 100.0588 203.0000
   7.000   0.9552   0.00971  -0.00865  -0.0498   0.0141   1.0000 100.4492 203.0000
