  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.661 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.000   0.2285   0.00636  -0.00677  -0.0486   0.6866   0.6456  32.7725 167.3148
   1.000   0.3139   0.00627  -0.00661  -0.0428   0.5911   0.8322  42.3918 186.1570
   2.000   0.4622   0.00687  -0.00640  -0.0505   0.5213   0.9668  49.4117 199.6793
   3.000   0.6110   0.00768  -0.00665  -0.0592   0.4456   0.9870  57.0135 201.6988
   4.000   0.7565   0.00856  -0.00715  -0.0679   0.3396   1.0000  67.6084 203.0000
   5.000   0.8233   0.00973  -0.00738  -0.0598   0.2260   1.0000  78.9197 203.0000
   6.000   0.8841   0.01153  -0.00741  -0.0508   0.1017   1.0000  91.3715 203.0000
   7.000   0.9379   0.01395  -0.00712  -0.0401   0.0268   1.0000  99.0304 203.0000
   8.000   1.0015   0.01569  -0.00719  -0.0315   0.0265   1.0000  99.0629 203.0000
   9.000   1.0576   0.01727  -0.00775  -0.0223   0.0181   1.0000  99.9495 203.0000
  10.000   1.1237   0.01845  -0.00857  -0.0154   0.0170   1.0000 100.0606 203.0000
