  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.992 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -2.000   0.0269   0.00721  -0.00781  -0.0463   0.7471   0.1827  26.6547 120.1407
  -1.000   0.1232   0.00687  -0.00737  -0.0433   0.6745   0.2987  33.9926 132.1456
   0.000   0.2101   0.00651  -0.00705  -0.0387   0.5553   0.5396  46.0158 156.5812
   1.000   0.3008   0.00645  -0.00676  -0.0347   0.4621   0.7153  55.3978 174.3606
   2.000   0.3931   0.00640  -0.00657  -0.0306   0.4050   0.8870  61.1305 191.6524
   3.000   0.5494   0.00715  -0.00641  -0.0407   0.3493   0.9752  66.7434 200.5127
   4.000   0.6911   0.00785  -0.00668  -0.0480   0.3015   0.9890  71.5463 201.8973
   5.000   0.8269   0.00886  -0.00709  -0.0547   0.2109   0.9977  80.4750 202.7696
   6.000   0.9128   0.01036  -0.00720  -0.0511   0.1068   1.0000  90.7968 203.0000
   7.000   0.9691   0.01246  -0.00699  -0.0411   0.0239   1.0000  99.2590 203.0000
   8.000   1.0399   0.01376  -0.00733  -0.0337   0.0228   1.0000  99.3732 203.0000
   9.000   1.1141   0.01481  -0.00811  -0.0278   0.0165   1.0000 100.0467 203.0000
  10.000   1.1823   0.01597  -0.00898  -0.0208   0.0145   1.0000 100.2518 203.0000
